PLAYER	POS	BODY FAT %	HAND LENGTH (inches)	HAND WIDTH (inches)	HEIGHT W/O SHOES	HEIGHT W/ SHOES	STANDING REACH	WEIGHT (LBS)	WINGSPAN
Drew Timme	C	15.70%	9.00	10.00	6' 8.25''	6' 9.25''	8' 11.50''	231.6	7' 2.00''
Walker Kessler	C	14.70%	8.50	8.50	7' 0.25''	7' 1.00''	9' 5.00''	256.0	7' 4.25''
Ron Harper Jr.	SF	14.30%	9.50	10.00	6' 4.00''	6' 5.50''	8' 9.50''	240.4	7' 1.25''
Trevor Keels	SG	13.50%	8.25	9.00	6' 3.25''	6' 4.75''	8' 5.00''	223.8	6' 7.25''
E.J. Liddell	PF	12.20%	8.25	9.25	6' 5.50''	6' 7.00''	8' 7.50''	243.0	6' 11.75''
Jabari Walker	PF	12.10%	8.75	9.75	6' 6.75''	6' 8.00''	8' 9.00''	213.8	6' 10.75''
TyTy Washington Jr.	SG	12.00%	8.50	9.25	6' 2.25''	6' 3.75''	8' 3.50''	196.4	6' 8.00''
David Roddy	PF	11.60%	8.75	10.00	6' 4.50''	6' 6.00''	8' 9.00''	260.8	6' 11.50''
Matthew Mayer	SF	11.10%	9.00	10.25	6' 8.00''	6' 9.25''	8' 9.00''	216.4	6' 10.50''
Trevion Williams	C	10.80%	9.00	10.25	6' 7.25''	6' 8.75''	9' 0.50''	264.6	7' 2.75''
Orlando Robinson	C	9.50%	8.75	10.00	6' 9.75''	6' 11.00''	9' 3.00''	244.4	7' 4.00''
Jake LaRavia	PF	9.00%	8.50	10.25	6' 6.75''	6' 8.00''	8' 8.00''	227.2	6' 9.50''
Patrick Baldwin Jr.	SF	8.90%	8.75	9.50	6' 9.25''	6' 10.25''	9' 2.50''	230.8	7' 1.75''
Jalen Williams	SG	8.90%	8.50	9.50	6' 4.50''	6' 5.75''	8' 9.50''	209.2	7' 2.25''
Hugo Besson	SG	8.80%	7.50	8.50	6' 4.50''	6' 5.75''	8' 6.00''	180.4	6' 5.50''
Collin Gillespie	PG	8.60%	8.25	9.00	6' 1.50''	6' 2.75''	8' 2.00''	195.8	6' 4.00''
Matteo Spagnolo	PG	8.60%	8.25	10.00	6' 4.00''	6' 5.50''	8' 6.00''	196.2	6' 8.00''
Harrison Ingram	SF	8.30%	9.00	10.00	6' 5.25''	6' 7.00''	8' 7.50''	232.8	7' 0.25''
Kofi Cockburn	C	8.20%	9.75	10.25	6' 11.00''	7' 0.00''	9' 2.50''	293.0	7' 4.25''
