PLAYER	POS	BODY FAT %	HAND LENGTH (inches)	HAND WIDTH (inches)	HEIGHT W/O SHOES	HEIGHT W/ SHOES	STANDING REACH	WEIGHT (LBS)	WINGSPAN
Adam Allenspach	C	12.40%	-	-	6' 11.5''		8' 11''	259.0	7' 0.5''
Alton Ford	PF	8.00%	-	-	6' 8.25''		8' 6.5''	271.0	6' 10.5''
Andre Hutson	PF	11.70%	-	-	6' 8.25''		8' 9.5''	244.0	6' 11.75''
Anthony Evans	PF	12.90%	-	-	6' 6''		8' 5.5''	267.0	6' 11.5''
Benjamin Eze	C-PF	3.90%	-	-	6' 8.75''		9' 1''	232.0	7' 6''
Bobby Simmons	SF	6.70%	-	-	6' 6.25''		8' 9''	235.0	7' 0.25''
Brandon Armstrong	SG	9.30%	-	-	6' 3.5''		8' 3.5''	188.0	6' 9.5''
Brendan Haywood	C	12.90%	-	-	6' 11.75''		9' 5.5''	266.0	7' 6.5''
Brent Wright	PF-SF	12.40%	-	-	6' 7.75''		8' 9.5''	236.0	7' 1.5''
Brian Scalabrine	PF-SF	13.60%	-	-	6' 8.75''		8' 9.5''	241.0	6' 9.75''
Calvin Bowman	PF	8.60%	-	-	6' 8.75''		8' 8''	214.0	6' 11.5''
Charles Hathaway	C	-%	-	-	6' 8''		8' 11.5''	274.0	7' 2''
Charlie Bell	PG	6.70%	-	-	6' 2.5''		8' 1.5''	200.0	6' 7.5''
Cookie Belcher	SG-PG	5.30%	-	-	6' 3''		8' 3''	206.0	6' 8.5''
Damone Brown	SF	6.70%	-	-	6' 8.25''		8' 8.5''	202.0	6' 11.75''
Damone Thornton	PF	8.00%	-	-	6' 6.75''		8' 7.75''	235.0	7' 1.75''
Darrell Johns	C	19.10%	-	-	6' 11.25''		9' 3.5''	278.0	7' 5''
Darren Kelly	SG-PG	6.70%	-	-	6' 2''		8' 4''	178.0	6' 6.75''
DeMarcus Minor	SG	6.70%	-	-	6' 3.25''		8' 3.5''	207.0	6' 8.25''
DeSagana Diop	C	21.00%	-	-	6' 10''		9' 5''	314.0	7' 6.5''
Demetrius Porter	PG	12.40%	-	-	5' 10.75''		7' 10''	178.0	6' 2.75''
Earl Watson	PG	4.00%	-	-	6' 0''		8' 1''	184.0	6' 6.75''
Eddie Griffin	PF-SF	4.00%	-	-	6' 9.25''		9' 2''	222.0	7' 3''
Eddy Curry	C	16.50%	-	-	6' 10.5''		9' 3''	301.0	7' 6.5''
Eric Chenowith	C	12.90%	-	-	7' 1''		9' 3''	264.0	7' 4''
Gilbert Arenas	SG	5.30%	-	-	6' 2.25''		8' 3.5''	199.0	6' 9.5''
