Name,Class,HP,Str,Mag,Skl,Spd,Lck,Def,Res,Total
Jake,Warrior,100,90,0,65,80,70,35,5,445.0
Jake,Berserker,100,80,0,55,100,70,30,5,440.0
Tiki,	Manakete,90,50,20,80,80,90,20,5,435.0
Nagi,	Manakete,90,50,20,80,80,90,20,5,435.0
Est,General,90,85,0,80,55,70,50,0,430.0
Jake,Hero,80,70,0,65,90,70,40,10,425.0
Jake,	General,90,65,0,60,70,70,60,10,425.0
Sirius,Warrior,125,90,0,60,50,60,40,0,425.0
Wolf,Warrior,120,90,0,65,55,60,35,0,425.0
Cain,Fighter/Warrior,120,65,0,70,70,70,25,0,420.0
Wolf,Berserker,120,80,0,55,75,60,30,0,420.0
Sirius,Berserker,125,80,0,50,70,60,35,0,420.0
Cain,Pirate/Berserker,120,55,0,60,90,70,20,0,415.0
Sedgar,Warrior,120,80,0,75,55,40,45,0,415.0
Tomas,Warrior,120,95,0,75,50,50,25,0,415.0
Est,Myrmidon/Swordmaster,70,80,0,80,85,70,25,5,415.0
Est,Cavalier/Paladin,70,85,0,85,65,70,35,5,415.0
Est,Archer/Sniper,70,80,0,80,85,70,30,0,415.0
Katarina,General,120,15,5,70,55,70,65,10,410.0
Est,Peg/Falco/DracoKnight,60,80,0,80,80,70,30,10,410.0
Jake,Sniper,70,60,0,60,100,70,40,10,410.0
Sedgar,Berserker,120,70,0,65,75,40,40,0,410.0
Jake,	Paladin,70,65,0,65,80,70,45,15,410.0
Jake,Swordmaster,70,60,0,60,100,70,35,15,410.0
Tomas,Berserker,120,85,0,65,70,50,20,0,410.0
Abel,Warrior,110,100,0,55,50,50,45,0,410.0
Roshea,Warrior,125,75,0,60,50,70,30,0,410.0
Abel,Berserker,110,90,0,45,70,50,40,0,405.0
Frey,Fighter/Warrior,120,70,0,65,65,55,30,0,405.0
Jake,Dracoknight,60,60,0,60,95,70,40,20,405.0
Roshea,Berserker,125,65,0,50,70,70,25,0,405.0
Abel,Warrior,130,85,0,60,60,40,30,0,405.0
Sheema,General,80,70,0,65,60,80,40,10,405.0
Sirius,	General,115,65,0,55,40,60,65,0,400.0
Sirius,Hero,105,70,0,60,60,60,45,0,400.0
Jake,Horseman,70,70,0,55,95,70,35,5,400.0
Abel,Berserker,130,75,0,50,80,40,25,0,400.0
Wolf,Hero,100,70,0,65,65,60,40,0,400.0
Wolf,	General,110,65,0,60,45,60,60,0,400.0
Katarina,Sniper,100,10,10,70,85,70,45,10,400.0
Frey,Pirate/Berserker,120,60,0,55,85,55,25,0,400.0
Katarina,Paladin,100,15,10,75,65,70,50,15,400.0
Catria,General,110,55,0,80,55,50,50,0,400.0
Julian,	Thief,80,70,0,60,70,80,40,0,400.0
Katarina,Swordmaster,100,10,10,70,85,70,40,15,400.0
Shiida,General,90,35,0,80,70,80,45,0,400.0
Rody,Fighter/Warrior,110,75,0,60,65,60,30,0,400.0
Cain,Mercenary/Hero,100,45,0,70,80,70,30,0,395.0
Cain,Knight/General,110,40,0,65,60,70,50,0,395.0
Katarina,Sage/Bishop,80,0,40,70,75,70,20,40,395.0
Rody,Pirate/Berserker,110,65,0,50,85,60,25,0,395.0
Est,Mage,50,60,40,80,70,70,5,20,395.0
Marth,	Lord,90,60,0,65,65,80,30,5,395.0
Est,Cleric,50,55,20,75,75,70,10,40,395.0
Merric,Fighter/Warrior,120,40,0,70,60,70,35,0,395.0
Tomas,Hero,100,75,0,75,60,50,30,5,395.0
Tomas,	General,110,70,0,70,40,50,50,5,395.0
Est,Sage/Bishop,50,55,30,80,75,70,5,30,395.0
Sheema,Swordmaster,60,65,0,65,90,80,15,15,390.0
Sedgar,Hero,100,60,0,75,65,40,50,0,390.0
Roshea,	General,115,50,0,55,40,70,55,5,390.0
Roshea,Hero,105,55,0,60,60,70,35,5,390.0
Sheema,Paladin,60,70,0,70,70,80,25,15,390.0
Radd,Fighter/Warrior,120,75,0,55,50,70,20,0,390.0
Merric,Pirate/Berserker,120,30,0,60,80,70,30,0,390.0
Sedgar,	General,110,55,0,70,45,40,70,0,390.0
Abel,General,100,75,0,50,40,50,70,5,390.0
Sheema,Sniper,60,65,0,65,90,80,20,10,390.0
Robert,Warrior,110,80,0,75,50,50,20,5,390.0
Feena,	Dancer,60,60,0,80,90,80,15,5,390.0
Vyland,Warrior,110,85,0,45,60,50,40,0,390.0
Katarina,	Dracoknight,90,10,5,70,80,70,45,20,390.0
Jake,Sage/Bishop,50,35,30,60,90,70,15,40,390.0
Jake,Sorcerer,50,35,30,60,90,70,15,40,390.0
Abel,Hero,90,80,0,55,60,50,50,5,390.0
Wolf,Sniper,90,60,0,60,75,60,40,0,385.0
Sirius,Sniper,95,60,0,55,70,60,45,0,385.0
Shiida,Cavalier/Paladin,70,35,0,85,80,80,30,5,385.0
Shiida,Archer/Sniper,70,30,0,80,100,80,25,0,385.0
Catria,Cavalier/Paladin,90,55,0,85,65,50,35,5,385.0
Sheema,	Dracoknight,50,65,0,65,85,80,20,20,385.0
Shiida,Myrmidon/Swordmaster,70,30,0,80,100,80,20,5,385.0
Sirius,Swordmaster,95,60,0,55,70,60,40,5,385.0
Catria,Archer/Sniper,90,50,0,80,85,50,30,0,385.0
Catria,Myrmidon/Swordmaster,90,50,0,80,85,50,25,5,385.0
Radd,Pirate/Berserker,120,65,0,45,70,70,15,0,385.0
Robert,Berserker,110,70,0,65,70,50,15,5,385.0
Sirius,	Paladin,95,65,0,60,50,60,50,5,385.0
Vyland,Berserker,110,75,0,35,80,50,35,0,385.0
Sirius,Dracoknight,85,60,0,55,65,60,45,10,380.0
Cain,Myrmidon/Swordmaster,90,35,0,65,90,70,25,5,380.0
Sirius,Horseman,95,70,0,50,65,60,40,0,380.0
Shiida,Peg/Falco/DracoKnight,60,30,0,80,95,80,25,10,380.0
Catria,Peg/Falco/DracoKnight,80,50,0,80,80,50,30,10,380.0
Roger,Fighter/Warrior,90,85,0,55,50,70,30,0,380.0
Frey,Mercenary/Hero,100,50,0,65,75,55,35,0,380.0
Cain,Cavalier/Paladin,90,40,0,70,70,70,35,5,380.0
Cain,Archer/Sniper,90,35,0,65,90,70,30,0,380.0
Frey,Knight/General,110,45,0,60,55,55,55,0,380.0
Tomas,Sniper,90,65,0,70,70,50,30,5,380.0
Abel,Hero,110,65,0,60,70,40,35,0,380.0
Michalis,Warrior,130,90,0,65,40,20,35,0,380.0
Wolf,Swordmaster,90,60,0,60,75,60,35,0,380.0
Abel,	General,120,60,0,55,50,40,55,0,380.0
Tomas,	Paladin,90,70,0,75,50,50,35,10,380.0
Wolf,	Paladin,90,65,0,65,55,60,45,0,380.0
Tomas,Swordmaster,90,65,0,70,70,50,25,10,380.0
Wolf,Horseman,90,70,0,55,70,60,35,0,380.0
Macellan,Swordmaster,80,70,0,50,70,50,45,10,375.0
Roger,Pirate/Berserker,90,75,0,45,70,70,25,0,375.0
Cain,Dracoknight,80,35,0,65,85,70,30,10,375.0
Macellan,	Paladin,80,75,0,55,50,50,55,10,375.0
Macellan,Sniper,80,70,0,50,70,50,50,5,375.0
Sedgar,Sniper,90,50,0,70,75,40,50,0,375.0
Luke,Fighter/Warrior,120,85,0,50,50,40,30,0,375.0
Sedgar,	Paladin,90,55,0,75,55,40,55,5,375.0
Rody,Knight/General,100,50,0,55,55,60,55,0,375.0
Sedgar,Swordmaster,90,50,0,70,75,40,45,5,375.0
Wolf,Dracoknight,80,60,0,60,70,60,40,5,375.0
Michalis,Berserker,130,80,0,55,60,20,30,0,375.0
Cain,Hunter/Horseman,90,45,0,60,85,70,25,0,375.0
Ogma,Fighter/Warrior,120,80,0,55,40,60,20,0,375.0
Rody,Mercenary/Hero,90,55,0,60,75,60,35,0,375.0
Ryan,Fighter/Warrior,110,80,0,85,30,40,30,0,375.0
Roshea,Sniper,95,45,0,55,70,70,35,5,375.0
Roshea,	Paladin,95,50,0,60,50,70,40,10,375.0
Tomas,Dracoknight,80,65,0,70,65,50,30,15,375.0
Roshea,Swordmaster,95,45,0,55,70,70,30,10,375.0
Merric,Mercenary/Hero,100,20,0,70,70,70,40,0,370.0
Robert,	General,100,55,0,70,40,50,45,10,370.0
Sedgar,Dracoknight,80,50,0,70,70,40,50,10,370.0
Etzel,Warrior,130,40,0,65,40,40,50,5,370.0
Tomas,Horseman,90,75,0,65,65,50,25,0,370.0
Linde,General,80,25,0,80,55,80,50,0,370.0
Ogma,Pirate/Berserker,120,70,0,45,60,60,15,0,370.0
Merric,Knight/General,110,15,0,65,50,70,60,0,370.0
Roshea,Dracoknight,85,45,0,55,65,70,35,15,370.0
Ryan,Pirate/Berserker,110,70,0,75,50,40,25,0,370.0
Luke,Pirate/Berserker,120,75,0,40,70,40,25,0,370.0
Sedgar,Horseman,90,60,0,65,70,40,45,0,370.0
Macellan,Dracoknight,70,70,0,50,65,50,50,15,370.0
Robert,Hero,90,60,0,75,60,50,25,10,370.0
Sirius,Sage/Bishop,75,35,30,55,60,60,20,30,365.0
Sheema,Sage/Bishop,40,40,20,65,80,80,0,40,365.0
Sirius,Sorcerer,75,35,30,55,60,60,20,30,365.0
Abel,Horseman,80,80,0,45,65,50,45,0,365.0
Abel,Swordmaster,100,55,0,55,80,40,30,5,365.0
Shiida,Mage,50,10,40,80,85,80,0,20,365.0
Vyland,Hero,90,65,0,45,70,50,45,0,365.0
Vyland,	General,100,60,0,40,50,50,65,0,365.0
Roshea,Horseman,95,55,0,50,65,70,30,0,365.0
Etzel,Berserker,130,30,0,55,60,40,45,5,365.0
Shiida,Sage/Bishop,50,5,30,80,90,80,0,30,365.0
Shiida,Cleric,50,5,20,75,90,80,5,40,365.0
Frey,Cavalier/Paladin,90,45,0,65,65,55,40,5,365.0
Frey,Archer/Sniper,90,40,0,60,85,55,35,0,365.0
Frey,Myrmidon/Swordmaster,90,40,0,60,85,55,30,5,365.0
Abel,Sniper,100,55,0,55,80,40,35,0,365.0
Radd,Nabarl	Knight/General,110,50,0,50,40,70,45,0,365.0
Radd,Mercenary/Hero,100,55,0,55,60,70,25,0,365.0
Abel,	Paladin,100,60,0,60,60,40,40,5,365.0
Elice,	Bishop,60,0,50,65,70,80,20,20,365.0
Cecil,General,90,45,5,65,65,50,45,0,365.0
Catria,Mage,70,30,40,80,70,50,5,20,365.0
Catria,Cleric,70,25,20,75,75,50,10,40,365.0
Catria,Sage/Bishop,70,25,30,80,75,50,5,30,365.0
Abel,Horseman,100,65,0,50,75,40,30,0,360.0
Rody,Myrmidon/Swordmaster,80,45,0,55,85,60,30,5,360.0
Rody,Archer/Sniper,80,45,0,55,85,60,35,0,360.0
Minerva,General,110,55,0,60,25,60,50,0,360.0
Rody,Cavalier/Paladin,80,50,0,60,65,60,40,5,360.0
Beck,Warrior,110,70,0,65,50,30,35,0,360.0
Horace,Warrior,110,80,0,50,40,35,45,0,360.0
Athena,General,95,45,0,60,40,65,50,5,360.0
Frey,Dracoknight,80,40,0,60,80,55,35,10,360.0
Frey,Hunter/Horseman,90,50,0,55,80,55,30,0,360.0
Astram,Warrior,120,80,0,50,30,60,20,0,360.0
Abel,Dracoknight,90,55,0,55,75,40,35,10,360.0
Robert,Swordmaster,80,50,0,70,70,50,20,15,355.0
Robert,Sniper,80,50,0,70,70,50,25,10,355.0
Cecil,Archer/Sniper,70,40,10,65,95,50,25,0,355.0
Cecil,Myrmidon/Swordmaster,70,40,10,65,95,50,20,5,355.0
Beck,Berserker,110,60,0,55,70,30,30,0,355.0
Horace,Berserker,110,70,0,40,60,35,40,0,355.0
Linde,Archer/Sniper,60,20,0,80,85,80,30,0,355.0
Etzel,	General,120,15,5,60,30,40,75,10,355.0
Rody,Hunter/Horseman,80,55,0,50,80,60,30,0,355.0
Astram,Berserker,120,70,0,40,50,60,15,0,355.0
Radd,Fighter/Warrior,110,80,0,50,45,50,20,0,355.0
Wolf,Sorcerer,70,35,25,60,65,60,15,25,355.0
Merric,Archer/Sniper,90,10,0,65,80,70,40,0,355.0
Robert,	Paladin,80,55,0,75,50,50,30,15,355.0
Roger,Mercenary/Hero,70,65,0,55,60,70,35,0,355.0
Rody,Dracoknight,70,45,0,55,80,60,35,10,355.0
Michalis,Hero,110,70,0,65,50,20,40,0,355.0
Michalis,	General,120,65,0,60,30,20,60,0,355.0
Wolf,Sage/Bishop,70,35,25,60,65,60,15,25,355.0
Cecil,Cavalier/Paladin,70,45,10,70,75,50,30,5,355.0
Warren,Fighter/Warrior,110,80,0,70,25,40,30,0,355.0
Ogma,Knight/General,110,55,0,50,30,60,45,5,355.0
