,file_name,path,line_count
0,Yay0compress.c,/home/matt/Desktop/papermario-dx/tools/build/yay0/,285
1,n64crc.c,/home/matt/Desktop/papermario-dx/tools/build/rom/,229
2,load_obfuscation_shims.c,/home/matt/Desktop/papermario-dx/src/,89
3,windows.c,/home/matt/Desktop/papermario-dx/src/,485
4,is_debug.c,/home/matt/Desktop/papermario-dx/src/,96
5,8a860_len_3f30.c,/home/matt/Desktop/papermario-dx/src/,2374
6,curtains.c,/home/matt/Desktop/papermario-dx/src/,305
7,world_use_item.c,/home/matt/Desktop/papermario-dx/src/,208
8,trigger.c,/home/matt/Desktop/papermario-dx/src/,299
9,crash_screen.c,/home/matt/Desktop/papermario-dx/src/,498
10,game_modes.c,/home/matt/Desktop/papermario-dx/src/,268
11,draw_img_util.c,/home/matt/Desktop/papermario-dx/src/,488
12,input.c,/home/matt/Desktop/papermario-dx/src/,244
13,111f0_len_860.c,/home/matt/Desktop/papermario-dx/src/,268
14,texture_memory.c,/home/matt/Desktop/papermario-dx/src/,6
15,inspect_icon.c,/home/matt/Desktop/papermario-dx/src/,276
16,43F0.c,/home/matt/Desktop/papermario-dx/src/,835
17,hud_element.c,/home/matt/Desktop/papermario-dx/src/,2285
18,23680.c,/home/matt/Desktop/papermario-dx/src/,922
19,level_up.c,/home/matt/Desktop/papermario-dx/src/,400
20,imgfx.c,/home/matt/Desktop/papermario-dx/src/,1904
21,encounter_api.c,/home/matt/Desktop/papermario-dx/src/,888
22,25AF0.c,/home/matt/Desktop/papermario-dx/src/,92
23,inventory.c,/home/matt/Desktop/papermario-dx/src/,2095
24,main_pre.c,/home/matt/Desktop/papermario-dx/src/,11
25,state_pause.c,/home/matt/Desktop/papermario-dx/src/,255
26,heaps2.c,/home/matt/Desktop/papermario-dx/src/,7
27,obfuscation_shims.c,/home/matt/Desktop/papermario-dx/src/,27
28,item_entity.c,/home/matt/Desktop/papermario-dx/src/,2717
